assumption_id,sector,description,used_for,status,source_or_reason,review_need
A-RAW-01,Whole model,"The upstream-generated raw parameter values are preserved as the immutable pre-calibration baseline.",Raw reference case,Active baseline rule,"Needed to distinguish structural build work from later calibration.","Never overwrite the raw baseline; create dated calibrated versions."
A-TIME-01,Whole model,"The model horizon is 2021–2050.",Model years,Active raw assumption,"Country configuration selected during the raw build.","Add 2020 or document its use as an initialization year before the historical backcast."
A-TIME-02,Whole model,"Wet season is November–April and dry season is May–October.",Season mapping,Active raw assumption,"Fiji country adaptation in config.yaml.","Validate against Fiji hydro and rainfall behavior; preserve monthly evidence."
A-TIME-03,Whole model,"Each season is represented by one daytime and one nighttime slice.",Intraseasonal load and resource shape,Active raw assumption,"Four-slice tractability choice inherited by the Fiji build.","Test whether more slices are required for the stated renewable-pathway use."
A-GEO-01,Energy,"Fiji is represented as one national electricity node FJIXX.",Electricity network,Active raw assumption,"OSeMOSYS Global country-node structure.","Replace with separate island systems before claiming Fiji operational fidelity."
A-GEO-02,Land-agriculture-water,"The national land system is represented by four agro-climatic clusters.",Spatial land and water representation,Active raw assumption,"Country workflow clustering choice.","Test sensitivity and retain cluster diagnostics if the count changes."
A-GEO-03,Land-agriculture-water,"The modeled land-cell domain is normalized to 18,273 km2.",National land endowment,Active structural assumption,"Government of Fiji area evidence and antimeridian-safe spatial processing.","Reconcile land/water boundary conventions before official accounting use."
A-CLI-01,Land-agriculture-water,"GAEZ RCP4.5 layers represent crop and water climate conditions.",Potential yield and water coefficients,Active raw assumption,"Selected country-workflow climate pathway.","Treat as a scenario choice rather than observed 2020–2024 weather."
A-LAW-01,Land-agriculture-water,"Taro and other starchy roots are represented through the GAEZ yam proxy; non-explicit crops are aggregated as OTH.",Crop taxonomy,Active raw assumption,"Available GAEZ layers and tractable crop grouping.","Review against Fiji crop statistics before commodity-specific policy analysis."
A-LAW-02,Land-agriculture-water,"Crop-yield factors are fixed at the neutral value one.",Crop-production coefficients,Active raw assumption,"Historical yield fitting was deliberately removed from the raw build.","Estimate transparent multi-year drivers during calibration; do not fit one output year by lock."
A-ENE-01,Energy,"OSeMOSYS Global Fiji energy values are retained without historical scaling or generation locks.",Raw energy behavior,Active raw assumption,"Preserves an unforced comparator.","Replace global defaults only with traceable Fiji evidence or declared calibration parameters."
A-ENE-02,Energy,"The raw configuration prohibits new investment in CCG, COA, COG, CSP, GEO, OCG, OTH, WAV, WOF, and URN.",Technology option set,Active raw assumption,"Country applicability choice in config.yaml.","Document evidence for every technology retained or excluded before scenario analysis."
A-ENE-03,Energy,"The generic OHC → DEMINDOHC → INDOHC branch is excluded from active Fiji v2.",Industrial other-hydrocarbons structure,Active Fiji v2 structural assumption,"The generated branch had no OHC producer or importer, no INDOHC demand, and no Fiji-specific cost, capacity, availability, or emissions data; UNSD 2020–2024 data contain no SIEC 4500 observations for Fiji.","Ask Fiji Bureau of Statistics, FRCS, and major industrial users whether any material combustible petroleum product is missing before introducing a defined useful-energy service and supply chain."
A-MUIO-01,Implementation,"A 0.05 discount rate is inserted during MUIO import because the generated CLEWs Global input is empty.",MUIO importer completeness,Active implementation assumption,"Explicitly documented import choice; not a Fiji-specific estimate.","Replace with an analysis-specific social or financial rate and sensitivity range before cost comparisons."
