REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOFJIXX01,2020,0.225644641418
GLOBAL,PWRBIOFJIXX01,2021,0.225644641418
GLOBAL,PWRBIOFJIXX01,2022,0.225644641418
GLOBAL,PWRBIOFJIXX01,2023,0.225644641418
GLOBAL,PWRBIOFJIXX01,2024,0.225644641418
GLOBAL,PWRBIOFJIXX01,2025,0.225644641418
GLOBAL,PWRBIOFJIXX01,2026,0.225644641418
GLOBAL,PWRBIOFJIXX01,2027,0.225644641418
GLOBAL,PWRBIOFJIXX01,2028,0.225644641418
GLOBAL,PWRBIOFJIXX01,2029,0.225644641418
GLOBAL,PWRBIOFJIXX01,2030,0.225644641418
GLOBAL,PWRBIOFJIXX01,2031,0.225644641418
GLOBAL,PWRBIOFJIXX01,2032,0.225644641418
GLOBAL,PWRBIOFJIXX01,2033,0.225644641418
GLOBAL,PWRBIOFJIXX01,2034,0.225644641418
GLOBAL,PWRBIOFJIXX01,2035,0.225644641418
GLOBAL,PWRBIOFJIXX01,2036,0.225644641418
GLOBAL,PWRBIOFJIXX01,2037,0.225644641418
GLOBAL,PWRBIOFJIXX01,2038,0.225644641418
GLOBAL,PWRBIOFJIXX01,2039,0.225644641418
GLOBAL,PWRBIOFJIXX01,2040,0.225644641418
GLOBAL,PWRBIOFJIXX01,2041,0.225644641418
GLOBAL,PWRBIOFJIXX01,2042,0.225644641418
GLOBAL,PWRBIOFJIXX01,2043,0.225644641418
GLOBAL,PWRBIOFJIXX01,2044,0.225644641418
GLOBAL,PWRBIOFJIXX01,2045,0.225644641418
GLOBAL,PWRBIOFJIXX01,2046,0.225644641418
GLOBAL,PWRBIOFJIXX01,2047,0.225644641418
GLOBAL,PWRBIOFJIXX01,2048,0.225644641418
GLOBAL,PWRBIOFJIXX01,2049,0.225644641418
GLOBAL,PWRBIOFJIXX01,2050,0.225644641418
GLOBAL,PWRCCGFJIXX00,2020,0.9
GLOBAL,PWRCCGFJIXX00,2021,0.9
GLOBAL,PWRCCGFJIXX00,2022,0.9
GLOBAL,PWRCCGFJIXX00,2023,0.9
GLOBAL,PWRCCGFJIXX00,2024,0.9
GLOBAL,PWRCCGFJIXX00,2025,0.9
GLOBAL,PWRCCGFJIXX00,2026,0.9
GLOBAL,PWRCCGFJIXX00,2027,0.9
GLOBAL,PWRCCGFJIXX00,2028,0.9
GLOBAL,PWRCCGFJIXX00,2029,0.9
GLOBAL,PWRCCGFJIXX00,2030,0.9
GLOBAL,PWRCCGFJIXX00,2031,0.9
GLOBAL,PWRCCGFJIXX00,2032,0.9
GLOBAL,PWRCCGFJIXX00,2033,0.9
GLOBAL,PWRCCGFJIXX00,2034,0.9
GLOBAL,PWRCCGFJIXX00,2035,0.9
GLOBAL,PWRCCGFJIXX00,2036,0.9
GLOBAL,PWRCCGFJIXX00,2037,0.9
GLOBAL,PWRCCGFJIXX00,2038,0.9
GLOBAL,PWRCCGFJIXX00,2039,0.9
GLOBAL,PWRCCGFJIXX00,2040,0.9
GLOBAL,PWRCCGFJIXX00,2041,0.9
GLOBAL,PWRCCGFJIXX00,2042,0.9
GLOBAL,PWRCCGFJIXX00,2043,0.9
GLOBAL,PWRCCGFJIXX00,2044,0.9
GLOBAL,PWRCCGFJIXX00,2045,0.9
GLOBAL,PWRCCGFJIXX00,2046,0.9
GLOBAL,PWRCCGFJIXX00,2047,0.9
GLOBAL,PWRCCGFJIXX00,2048,0.9
GLOBAL,PWRCCGFJIXX00,2049,0.9
GLOBAL,PWRCCGFJIXX00,2050,0.9
GLOBAL,PWRCCGFJIXX01,2020,0.9
GLOBAL,PWRCCGFJIXX01,2021,0.9
GLOBAL,PWRCCGFJIXX01,2022,0.9
GLOBAL,PWRCCGFJIXX01,2023,0.9
GLOBAL,PWRCCGFJIXX01,2024,0.9
GLOBAL,PWRCCGFJIXX01,2025,0.9
GLOBAL,PWRCCGFJIXX01,2026,0.9
GLOBAL,PWRCCGFJIXX01,2027,0.9
GLOBAL,PWRCCGFJIXX01,2028,0.9
GLOBAL,PWRCCGFJIXX01,2029,0.9
GLOBAL,PWRCCGFJIXX01,2030,0.9
GLOBAL,PWRCCGFJIXX01,2031,0.9
GLOBAL,PWRCCGFJIXX01,2032,0.9
GLOBAL,PWRCCGFJIXX01,2033,0.9
GLOBAL,PWRCCGFJIXX01,2034,0.9
GLOBAL,PWRCCGFJIXX01,2035,0.9
GLOBAL,PWRCCGFJIXX01,2036,0.9
GLOBAL,PWRCCGFJIXX01,2037,0.9
GLOBAL,PWRCCGFJIXX01,2038,0.9
GLOBAL,PWRCCGFJIXX01,2039,0.9
GLOBAL,PWRCCGFJIXX01,2040,0.9
GLOBAL,PWRCCGFJIXX01,2041,0.9
GLOBAL,PWRCCGFJIXX01,2042,0.9
GLOBAL,PWRCCGFJIXX01,2043,0.9
GLOBAL,PWRCCGFJIXX01,2044,0.9
GLOBAL,PWRCCGFJIXX01,2045,0.9
GLOBAL,PWRCCGFJIXX01,2046,0.9
GLOBAL,PWRCCGFJIXX01,2047,0.9
GLOBAL,PWRCCGFJIXX01,2048,0.9
GLOBAL,PWRCCGFJIXX01,2049,0.9
GLOBAL,PWRCCGFJIXX01,2050,0.9
GLOBAL,PWRCCSFJIXX01,2020,0.9
GLOBAL,PWRCCSFJIXX01,2021,0.9
GLOBAL,PWRCCSFJIXX01,2022,0.9
GLOBAL,PWRCCSFJIXX01,2023,0.9
GLOBAL,PWRCCSFJIXX01,2024,0.9
GLOBAL,PWRCCSFJIXX01,2025,0.9
GLOBAL,PWRCCSFJIXX01,2026,0.9
GLOBAL,PWRCCSFJIXX01,2027,0.9
GLOBAL,PWRCCSFJIXX01,2028,0.9
GLOBAL,PWRCCSFJIXX01,2029,0.9
GLOBAL,PWRCCSFJIXX01,2030,0.9
GLOBAL,PWRCCSFJIXX01,2031,0.9
GLOBAL,PWRCCSFJIXX01,2032,0.9
GLOBAL,PWRCCSFJIXX01,2033,0.9
GLOBAL,PWRCCSFJIXX01,2034,0.9
GLOBAL,PWRCCSFJIXX01,2035,0.9
GLOBAL,PWRCCSFJIXX01,2036,0.9
GLOBAL,PWRCCSFJIXX01,2037,0.9
GLOBAL,PWRCCSFJIXX01,2038,0.9
GLOBAL,PWRCCSFJIXX01,2039,0.9
GLOBAL,PWRCCSFJIXX01,2040,0.9
GLOBAL,PWRCCSFJIXX01,2041,0.9
GLOBAL,PWRCCSFJIXX01,2042,0.9
GLOBAL,PWRCCSFJIXX01,2043,0.9
GLOBAL,PWRCCSFJIXX01,2044,0.9
GLOBAL,PWRCCSFJIXX01,2045,0.9
GLOBAL,PWRCCSFJIXX01,2046,0.9
GLOBAL,PWRCCSFJIXX01,2047,0.9
GLOBAL,PWRCCSFJIXX01,2048,0.9
GLOBAL,PWRCCSFJIXX01,2049,0.9
GLOBAL,PWRCCSFJIXX01,2050,0.9
GLOBAL,PWRCOAFJIXX01,2020,0.9
GLOBAL,PWRCOAFJIXX01,2021,0.9
GLOBAL,PWRCOAFJIXX01,2022,0.9
GLOBAL,PWRCOAFJIXX01,2023,0.9
GLOBAL,PWRCOAFJIXX01,2024,0.9
GLOBAL,PWRCOAFJIXX01,2025,0.9
GLOBAL,PWRCOAFJIXX01,2026,0.9
GLOBAL,PWRCOAFJIXX01,2027,0.9
GLOBAL,PWRCOAFJIXX01,2028,0.9
GLOBAL,PWRCOAFJIXX01,2029,0.9
GLOBAL,PWRCOAFJIXX01,2030,0.9
GLOBAL,PWRCOAFJIXX01,2031,0.9
GLOBAL,PWRCOAFJIXX01,2032,0.9
GLOBAL,PWRCOAFJIXX01,2033,0.9
GLOBAL,PWRCOAFJIXX01,2034,0.9
GLOBAL,PWRCOAFJIXX01,2035,0.9
GLOBAL,PWRCOAFJIXX01,2036,0.9
GLOBAL,PWRCOAFJIXX01,2037,0.9
GLOBAL,PWRCOAFJIXX01,2038,0.9
GLOBAL,PWRCOAFJIXX01,2039,0.9
GLOBAL,PWRCOAFJIXX01,2040,0.9
GLOBAL,PWRCOAFJIXX01,2041,0.9
GLOBAL,PWRCOAFJIXX01,2042,0.9
GLOBAL,PWRCOAFJIXX01,2043,0.9
GLOBAL,PWRCOAFJIXX01,2044,0.9
GLOBAL,PWRCOAFJIXX01,2045,0.9
GLOBAL,PWRCOAFJIXX01,2046,0.9
GLOBAL,PWRCOAFJIXX01,2047,0.9
GLOBAL,PWRCOAFJIXX01,2048,0.9
GLOBAL,PWRCOAFJIXX01,2049,0.9
GLOBAL,PWRCOAFJIXX01,2050,0.9
GLOBAL,PWRCOGFJIXX01,2020,0.8
GLOBAL,PWRCOGFJIXX01,2021,0.8
GLOBAL,PWRCOGFJIXX01,2022,0.8
GLOBAL,PWRCOGFJIXX01,2023,0.8
GLOBAL,PWRCOGFJIXX01,2024,0.8
GLOBAL,PWRCOGFJIXX01,2025,0.8
GLOBAL,PWRCOGFJIXX01,2026,0.8
GLOBAL,PWRCOGFJIXX01,2027,0.8
GLOBAL,PWRCOGFJIXX01,2028,0.8
GLOBAL,PWRCOGFJIXX01,2029,0.8
GLOBAL,PWRCOGFJIXX01,2030,0.8
GLOBAL,PWRCOGFJIXX01,2031,0.8
GLOBAL,PWRCOGFJIXX01,2032,0.8
GLOBAL,PWRCOGFJIXX01,2033,0.8
GLOBAL,PWRCOGFJIXX01,2034,0.8
GLOBAL,PWRCOGFJIXX01,2035,0.8
GLOBAL,PWRCOGFJIXX01,2036,0.8
GLOBAL,PWRCOGFJIXX01,2037,0.8
GLOBAL,PWRCOGFJIXX01,2038,0.8
GLOBAL,PWRCOGFJIXX01,2039,0.8
GLOBAL,PWRCOGFJIXX01,2040,0.8
GLOBAL,PWRCOGFJIXX01,2041,0.8
GLOBAL,PWRCOGFJIXX01,2042,0.8
GLOBAL,PWRCOGFJIXX01,2043,0.8
GLOBAL,PWRCOGFJIXX01,2044,0.8
GLOBAL,PWRCOGFJIXX01,2045,0.8
GLOBAL,PWRCOGFJIXX01,2046,0.8
GLOBAL,PWRCOGFJIXX01,2047,0.8
GLOBAL,PWRCOGFJIXX01,2048,0.8
GLOBAL,PWRCOGFJIXX01,2049,0.8
GLOBAL,PWRCOGFJIXX01,2050,0.8
GLOBAL,PWRGEOFJIXX01,2020,0.9
GLOBAL,PWRGEOFJIXX01,2021,0.9
GLOBAL,PWRGEOFJIXX01,2022,0.9
GLOBAL,PWRGEOFJIXX01,2023,0.9
GLOBAL,PWRGEOFJIXX01,2024,0.9
GLOBAL,PWRGEOFJIXX01,2025,0.9
GLOBAL,PWRGEOFJIXX01,2026,0.9
GLOBAL,PWRGEOFJIXX01,2027,0.9
GLOBAL,PWRGEOFJIXX01,2028,0.9
GLOBAL,PWRGEOFJIXX01,2029,0.9
GLOBAL,PWRGEOFJIXX01,2030,0.9
GLOBAL,PWRGEOFJIXX01,2031,0.9
GLOBAL,PWRGEOFJIXX01,2032,0.9
GLOBAL,PWRGEOFJIXX01,2033,0.9
GLOBAL,PWRGEOFJIXX01,2034,0.9
GLOBAL,PWRGEOFJIXX01,2035,0.9
GLOBAL,PWRGEOFJIXX01,2036,0.9
GLOBAL,PWRGEOFJIXX01,2037,0.9
GLOBAL,PWRGEOFJIXX01,2038,0.9
GLOBAL,PWRGEOFJIXX01,2039,0.9
GLOBAL,PWRGEOFJIXX01,2040,0.9
GLOBAL,PWRGEOFJIXX01,2041,0.9
GLOBAL,PWRGEOFJIXX01,2042,0.9
GLOBAL,PWRGEOFJIXX01,2043,0.9
GLOBAL,PWRGEOFJIXX01,2044,0.9
GLOBAL,PWRGEOFJIXX01,2045,0.9
GLOBAL,PWRGEOFJIXX01,2046,0.9
GLOBAL,PWRGEOFJIXX01,2047,0.9
GLOBAL,PWRGEOFJIXX01,2048,0.9
GLOBAL,PWRGEOFJIXX01,2049,0.9
GLOBAL,PWRGEOFJIXX01,2050,0.9
GLOBAL,PWRHYDFJIXX01,2020,0.9
GLOBAL,PWRHYDFJIXX01,2021,0.9
GLOBAL,PWRHYDFJIXX01,2022,0.9
GLOBAL,PWRHYDFJIXX01,2023,0.9
GLOBAL,PWRHYDFJIXX01,2024,0.9
GLOBAL,PWRHYDFJIXX01,2025,0.9
GLOBAL,PWRHYDFJIXX01,2026,0.9
GLOBAL,PWRHYDFJIXX01,2027,0.9
GLOBAL,PWRHYDFJIXX01,2028,0.9
GLOBAL,PWRHYDFJIXX01,2029,0.9
GLOBAL,PWRHYDFJIXX01,2030,0.9
GLOBAL,PWRHYDFJIXX01,2031,0.9
GLOBAL,PWRHYDFJIXX01,2032,0.9
GLOBAL,PWRHYDFJIXX01,2033,0.9
GLOBAL,PWRHYDFJIXX01,2034,0.9
GLOBAL,PWRHYDFJIXX01,2035,0.9
GLOBAL,PWRHYDFJIXX01,2036,0.9
GLOBAL,PWRHYDFJIXX01,2037,0.9
GLOBAL,PWRHYDFJIXX01,2038,0.9
GLOBAL,PWRHYDFJIXX01,2039,0.9
GLOBAL,PWRHYDFJIXX01,2040,0.9
GLOBAL,PWRHYDFJIXX01,2041,0.9
GLOBAL,PWRHYDFJIXX01,2042,0.9
GLOBAL,PWRHYDFJIXX01,2043,0.9
GLOBAL,PWRHYDFJIXX01,2044,0.9
GLOBAL,PWRHYDFJIXX01,2045,0.9
GLOBAL,PWRHYDFJIXX01,2046,0.9
GLOBAL,PWRHYDFJIXX01,2047,0.9
GLOBAL,PWRHYDFJIXX01,2048,0.9
GLOBAL,PWRHYDFJIXX01,2049,0.9
GLOBAL,PWRHYDFJIXX01,2050,0.9
GLOBAL,PWROCGFJIXX00,2020,0.9
GLOBAL,PWROCGFJIXX00,2021,0.9
GLOBAL,PWROCGFJIXX00,2022,0.9
GLOBAL,PWROCGFJIXX00,2023,0.9
GLOBAL,PWROCGFJIXX00,2024,0.9
GLOBAL,PWROCGFJIXX00,2025,0.9
GLOBAL,PWROCGFJIXX00,2026,0.9
GLOBAL,PWROCGFJIXX00,2027,0.9
GLOBAL,PWROCGFJIXX00,2028,0.9
GLOBAL,PWROCGFJIXX00,2029,0.9
GLOBAL,PWROCGFJIXX00,2030,0.9
GLOBAL,PWROCGFJIXX00,2031,0.9
GLOBAL,PWROCGFJIXX00,2032,0.9
GLOBAL,PWROCGFJIXX00,2033,0.9
GLOBAL,PWROCGFJIXX00,2034,0.9
GLOBAL,PWROCGFJIXX00,2035,0.9
GLOBAL,PWROCGFJIXX00,2036,0.9
GLOBAL,PWROCGFJIXX00,2037,0.9
GLOBAL,PWROCGFJIXX00,2038,0.9
GLOBAL,PWROCGFJIXX00,2039,0.9
GLOBAL,PWROCGFJIXX00,2040,0.9
GLOBAL,PWROCGFJIXX00,2041,0.9
GLOBAL,PWROCGFJIXX00,2042,0.9
GLOBAL,PWROCGFJIXX00,2043,0.9
GLOBAL,PWROCGFJIXX00,2044,0.9
GLOBAL,PWROCGFJIXX00,2045,0.9
GLOBAL,PWROCGFJIXX00,2046,0.9
GLOBAL,PWROCGFJIXX00,2047,0.9
GLOBAL,PWROCGFJIXX00,2048,0.9
GLOBAL,PWROCGFJIXX00,2049,0.9
GLOBAL,PWROCGFJIXX00,2050,0.9
GLOBAL,PWROCGFJIXX01,2020,0.9
GLOBAL,PWROCGFJIXX01,2021,0.9
GLOBAL,PWROCGFJIXX01,2022,0.9
GLOBAL,PWROCGFJIXX01,2023,0.9
GLOBAL,PWROCGFJIXX01,2024,0.9
GLOBAL,PWROCGFJIXX01,2025,0.9
GLOBAL,PWROCGFJIXX01,2026,0.9
GLOBAL,PWROCGFJIXX01,2027,0.9
GLOBAL,PWROCGFJIXX01,2028,0.9
GLOBAL,PWROCGFJIXX01,2029,0.9
GLOBAL,PWROCGFJIXX01,2030,0.9
GLOBAL,PWROCGFJIXX01,2031,0.9
GLOBAL,PWROCGFJIXX01,2032,0.9
GLOBAL,PWROCGFJIXX01,2033,0.9
GLOBAL,PWROCGFJIXX01,2034,0.9
GLOBAL,PWROCGFJIXX01,2035,0.9
GLOBAL,PWROCGFJIXX01,2036,0.9
GLOBAL,PWROCGFJIXX01,2037,0.9
GLOBAL,PWROCGFJIXX01,2038,0.9
GLOBAL,PWROCGFJIXX01,2039,0.9
GLOBAL,PWROCGFJIXX01,2040,0.9
GLOBAL,PWROCGFJIXX01,2041,0.9
GLOBAL,PWROCGFJIXX01,2042,0.9
GLOBAL,PWROCGFJIXX01,2043,0.9
GLOBAL,PWROCGFJIXX01,2044,0.9
GLOBAL,PWROCGFJIXX01,2045,0.9
GLOBAL,PWROCGFJIXX01,2046,0.9
GLOBAL,PWROCGFJIXX01,2047,0.9
GLOBAL,PWROCGFJIXX01,2048,0.9
GLOBAL,PWROCGFJIXX01,2049,0.9
GLOBAL,PWROCGFJIXX01,2050,0.9
GLOBAL,PWROILFJIXX01,2020,0.8
GLOBAL,PWROILFJIXX01,2021,0.8
GLOBAL,PWROILFJIXX01,2022,0.8
GLOBAL,PWROILFJIXX01,2023,0.8
GLOBAL,PWROILFJIXX01,2024,0.8
GLOBAL,PWROILFJIXX01,2025,0.8
GLOBAL,PWROILFJIXX01,2026,0.8
GLOBAL,PWROILFJIXX01,2027,0.8
GLOBAL,PWROILFJIXX01,2028,0.8
GLOBAL,PWROILFJIXX01,2029,0.8
GLOBAL,PWROILFJIXX01,2030,0.8
GLOBAL,PWROILFJIXX01,2031,0.8
GLOBAL,PWROILFJIXX01,2032,0.8
GLOBAL,PWROILFJIXX01,2033,0.8
GLOBAL,PWROILFJIXX01,2034,0.8
GLOBAL,PWROILFJIXX01,2035,0.8
GLOBAL,PWROILFJIXX01,2036,0.8
GLOBAL,PWROILFJIXX01,2037,0.8
GLOBAL,PWROILFJIXX01,2038,0.8
GLOBAL,PWROILFJIXX01,2039,0.8
GLOBAL,PWROILFJIXX01,2040,0.8
GLOBAL,PWROILFJIXX01,2041,0.8
GLOBAL,PWROILFJIXX01,2042,0.8
GLOBAL,PWROILFJIXX01,2043,0.8
GLOBAL,PWROILFJIXX01,2044,0.8
GLOBAL,PWROILFJIXX01,2045,0.8
GLOBAL,PWROILFJIXX01,2046,0.8
GLOBAL,PWROILFJIXX01,2047,0.8
GLOBAL,PWROILFJIXX01,2048,0.8
GLOBAL,PWROILFJIXX01,2049,0.8
GLOBAL,PWROILFJIXX01,2050,0.8
GLOBAL,PWROTHFJIXX01,2020,0.8
GLOBAL,PWROTHFJIXX01,2021,0.8
GLOBAL,PWROTHFJIXX01,2022,0.8
GLOBAL,PWROTHFJIXX01,2023,0.8
GLOBAL,PWROTHFJIXX01,2024,0.8
GLOBAL,PWROTHFJIXX01,2025,0.8
GLOBAL,PWROTHFJIXX01,2026,0.8
GLOBAL,PWROTHFJIXX01,2027,0.8
GLOBAL,PWROTHFJIXX01,2028,0.8
GLOBAL,PWROTHFJIXX01,2029,0.8
GLOBAL,PWROTHFJIXX01,2030,0.8
GLOBAL,PWROTHFJIXX01,2031,0.8
GLOBAL,PWROTHFJIXX01,2032,0.8
GLOBAL,PWROTHFJIXX01,2033,0.8
GLOBAL,PWROTHFJIXX01,2034,0.8
GLOBAL,PWROTHFJIXX01,2035,0.8
GLOBAL,PWROTHFJIXX01,2036,0.8
GLOBAL,PWROTHFJIXX01,2037,0.8
GLOBAL,PWROTHFJIXX01,2038,0.8
GLOBAL,PWROTHFJIXX01,2039,0.8
GLOBAL,PWROTHFJIXX01,2040,0.8
GLOBAL,PWROTHFJIXX01,2041,0.8
GLOBAL,PWROTHFJIXX01,2042,0.8
GLOBAL,PWROTHFJIXX01,2043,0.8
GLOBAL,PWROTHFJIXX01,2044,0.8
GLOBAL,PWROTHFJIXX01,2045,0.8
GLOBAL,PWROTHFJIXX01,2046,0.8
GLOBAL,PWROTHFJIXX01,2047,0.8
GLOBAL,PWROTHFJIXX01,2048,0.8
GLOBAL,PWROTHFJIXX01,2049,0.8
GLOBAL,PWROTHFJIXX01,2050,0.8
GLOBAL,PWRPETFJIXX01,2020,0.8
GLOBAL,PWRPETFJIXX01,2021,0.8
GLOBAL,PWRPETFJIXX01,2022,0.8
GLOBAL,PWRPETFJIXX01,2023,0.8
GLOBAL,PWRPETFJIXX01,2024,0.8
GLOBAL,PWRPETFJIXX01,2025,0.8
GLOBAL,PWRPETFJIXX01,2026,0.8
GLOBAL,PWRPETFJIXX01,2027,0.8
GLOBAL,PWRPETFJIXX01,2028,0.8
GLOBAL,PWRPETFJIXX01,2029,0.8
GLOBAL,PWRPETFJIXX01,2030,0.8
GLOBAL,PWRPETFJIXX01,2031,0.8
GLOBAL,PWRPETFJIXX01,2032,0.8
GLOBAL,PWRPETFJIXX01,2033,0.8
GLOBAL,PWRPETFJIXX01,2034,0.8
GLOBAL,PWRPETFJIXX01,2035,0.8
GLOBAL,PWRPETFJIXX01,2036,0.8
GLOBAL,PWRPETFJIXX01,2037,0.8
GLOBAL,PWRPETFJIXX01,2038,0.8
GLOBAL,PWRPETFJIXX01,2039,0.8
GLOBAL,PWRPETFJIXX01,2040,0.8
GLOBAL,PWRPETFJIXX01,2041,0.8
GLOBAL,PWRPETFJIXX01,2042,0.8
GLOBAL,PWRPETFJIXX01,2043,0.8
GLOBAL,PWRPETFJIXX01,2044,0.8
GLOBAL,PWRPETFJIXX01,2045,0.8
GLOBAL,PWRPETFJIXX01,2046,0.8
GLOBAL,PWRPETFJIXX01,2047,0.8
GLOBAL,PWRPETFJIXX01,2048,0.8
GLOBAL,PWRPETFJIXX01,2049,0.8
GLOBAL,PWRPETFJIXX01,2050,0.8
GLOBAL,PWRSPVFJIXX01,2020,0.9
GLOBAL,PWRSPVFJIXX01,2021,0.9
GLOBAL,PWRSPVFJIXX01,2022,0.9
GLOBAL,PWRSPVFJIXX01,2023,0.9
GLOBAL,PWRSPVFJIXX01,2024,0.9
GLOBAL,PWRSPVFJIXX01,2025,0.9
GLOBAL,PWRSPVFJIXX01,2026,0.9
GLOBAL,PWRSPVFJIXX01,2027,0.9
GLOBAL,PWRSPVFJIXX01,2028,0.9
GLOBAL,PWRSPVFJIXX01,2029,0.9
GLOBAL,PWRSPVFJIXX01,2030,0.9
GLOBAL,PWRSPVFJIXX01,2031,0.9
GLOBAL,PWRSPVFJIXX01,2032,0.9
GLOBAL,PWRSPVFJIXX01,2033,0.9
GLOBAL,PWRSPVFJIXX01,2034,0.9
GLOBAL,PWRSPVFJIXX01,2035,0.9
GLOBAL,PWRSPVFJIXX01,2036,0.9
GLOBAL,PWRSPVFJIXX01,2037,0.9
GLOBAL,PWRSPVFJIXX01,2038,0.9
GLOBAL,PWRSPVFJIXX01,2039,0.9
GLOBAL,PWRSPVFJIXX01,2040,0.9
GLOBAL,PWRSPVFJIXX01,2041,0.9
GLOBAL,PWRSPVFJIXX01,2042,0.9
GLOBAL,PWRSPVFJIXX01,2043,0.9
GLOBAL,PWRSPVFJIXX01,2044,0.9
GLOBAL,PWRSPVFJIXX01,2045,0.9
GLOBAL,PWRSPVFJIXX01,2046,0.9
GLOBAL,PWRSPVFJIXX01,2047,0.9
GLOBAL,PWRSPVFJIXX01,2048,0.9
GLOBAL,PWRSPVFJIXX01,2049,0.9
GLOBAL,PWRSPVFJIXX01,2050,0.9
GLOBAL,PWRURNFJIXX01,2020,0.9
GLOBAL,PWRURNFJIXX01,2021,0.9
GLOBAL,PWRURNFJIXX01,2022,0.9
GLOBAL,PWRURNFJIXX01,2023,0.9
GLOBAL,PWRURNFJIXX01,2024,0.9
GLOBAL,PWRURNFJIXX01,2025,0.9
